,0
0,1080082736365342721
1,1361420923
2,4856616237
3,861628183
4,20663500
5,79962986
6,36665547
7,23449774
8,2862755232
9,3235744538
10,405085229
11,846805558812463106
12,340454624
13,997478989399719936
14,234824951
15,123065047
16,2597794454
17,15864671
18,244233507
19,84181532
20,182789084
21,821709153185972224
22,62643747
23,320962473
24,94190179
25,34670905
26,1648024394
27,81192849
28,21021891
29,364784007
30,4263130319
31,1169207839493165058
32,41141448
33,4808470694
34,41377904
35,3224469100
36,112059828
37,1657802282
38,32880255
39,103085208
40,107132070
41,34407641
42,16002973
43,702909403452674048
44,20637451
45,424435659
46,100522040
47,88697269
48,404127128
49,95687779
50,2656316095
51,94602527
